Sign,H1 FingerSelection,H1 Aperture,H1 Curve,H1 Bent,H1 Facing,H1 Focus,H1 Width,Dynamic Orientation,Location,Plane,Settings,Path,H2 FingerSelection,H2 Aperture,H2 Curve,H2 Bent,H2 Width,H2 Facing,H2 Focus,Manner,H1 Focus_2,H1 Facing_2
думать,1-st,absent,straight,straight,palm,tips,absent,absent,head-high,absent,far-near,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
наверное,all,absent,straight,straight,back,back,pointed,absent,hand-palm,horisontal,far-near,sraight,absent,absent,absent,absent,absent,back,absent,repeated,,
прикладывать,all,absent,straight,straight,back,ulnar,pointed,absent,hand-classifier,horisontal,near-far,sraight,1-st; 2-nd; 3-rd; 4-th,open,straight,straight,pointed,back,absent,repeated,,
нападать,all,absent,straight,straight,palm,tips,wide,absent,space,horisontal,ipsi-contra,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
посещать,1-st; 2-nd,absent,curved,absent,palm,tips,wide,absent,hand-back; space,horisontal,x-y,arc,absent,absent,absent,absent,absent,absent,absent,absent,,
видно,1-st,absent,straight,bent,palm,tips,absent,absent,head-high,absent,far-near,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
привлекать,all,absent,absent,straight-bent,palm,root,wide,absent,trunk,absent,far-near,sraight,absent,absent,absent,absent,absent,absent,absent,repeated; symmetrical,,
dem,2-nd,absent,straight,bent,palm,tips,pointed,absent,trunk,absent,far-near,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
быть пригодным,all,absent,straight,straight,back,tips,pointed,absent,space,horisontal,proxi-distal,arc,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
мстить,1-st; 2-nd,absent,straight,straight,ulnar,back,pointed,absent,hand-narrow,sagittal,proxi-distal,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical; tense,,
избегать,1-st; 2-nd,absent,curved,absent,tips,back,wide,prone-neutral,space,horisontal,contra-ipsi,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical; repeated,,
ожидать,all,absent,straight,straight,radial,root,pointed,absent,trunk,absent,high-low,sraight,absent,absent,absent,absent,absent,absent,absent,repeated,,
просыпаться,1-st,closed-open,straight,bent,radial,absent,absent,absent,head-high,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
печь,all,absent,straight,straight,back,tips,pointed,absent,space,horisontal,proxi-distal,sraight,absent,absent,absent,absent,absent,absent,absent,repeated; symmetrical,,
запрещать,1-st,absent,absent,absent,ulnar,absent,absent,absent,hand-palm,horisontal,far-near,sraight,absent,absent,absent,absent,absent,back,absent,tense,,
крестить,1-st; 2-nd,absent,straight,straight,palm,palm,pointed,absent,space,horisontal,high-low,sraight,absent,absent,absent,absent,absent,absent,absent,repeated; symmetrical; crossed,,
разрешить,1-st,closed,curved,absent,ulnar,tips,absent,absent,space,horisontal,x-y,arc,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
называть,1-st,absent,straight,straight,tips,radial,absent,absent,hand-classifier; space,horisontal,low-high,sraight,thumb,absent,absent,absent,absent,ulnar,absent,repeated,,
терпеть,all,absent,straight,straight,root,ulnar,pointed,absent,trunk,absent,high-low,sraight,absent,absent,absent,absent,absent,absent,absent,tense,,
клянчить,all,absent,straight,bent,back,tips,pointed,absent,space,horisontal,proxi-distal; ipsi-contra,vawe,absent,absent,absent,absent,absent,absent,absent,repeated,,
начинать,1-st,absent,straight,straight,radial,tips,absent,absent,hand-palm; space,parallel,low-high,sraight,absent,absent,absent,absent,absent,palm,absent,absent,,
принадлежать,all,absent,straight,straight,absent,absent,pointed,prone-neutral,space,horisontal,absent,absent,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
ему,1-st,absent,straight,straight,palm,tips,absent,absent,space,horisontal,x-y,sraight,absent,absent,absent,absent,absent,absent,absent,repeated,,
пристегиваться,1-st,open,curved,absent,palm,tips,absent,absent,trunk,absent,ipsi-contra,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical; repeated,,
 спорить,1-st,absent,straight,straight,tips,radial,absent,absent,space,sagittal,low-high,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical; alternating; repeated,,
предавать,all,absent,straight,straight,absent,absent,absent,prone-neutral,head-mid,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,,
ездить на велосипеде,all,absent,straight,straight,ulnar,tips,wide,absent,space,horisontal,x-y; high-low,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical; repeated,,
кусать,all,open-closed,curved,absent,back,tips,wide,absent,head-low,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,tense,,
вина,1-st; 2-nd,closed,straight,bent,absent,tips,pointed,neutral-prone,head-mid,absent,near-far,arc,absent,absent,absent,absent,absent,absent,absent,tense,,
dem,1-st,absent,straight,straight,palm,tips,absent,absent,space,horisontal,x-y,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
гореть,1-st; 2-nd; 3-rd,absent,straight,straight,root,tips,wide,absent,space,horisontal,low-high,vawe,absent,absent,absent,absent,absent,absent,absent,symmetrical; alternating,,
смешивать,all,absent,straight,straight,tips,absent,wide,absent,space,horisontal,absent,circle-clock; circle-counterclock,absent,absent,absent,absent,absent,absent,absent,symmetrical; alternating; repeated,,
мигать,1-st; 2-nd,absent,straight,straight,palm,absent,wide-pointed,absent,head-high,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,repeated,,
блокировка,absent,absent,absent,absent,palm,palm,absent,absent,hand-back,horisontal,far-near,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
взрывать,absent,absent,absent,absent,palm,radial,absent,absent,space,parallel,contra-ipsi; low-high,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical; tense,,
задувать,all,open-closed,straight,bent,root,tips,wide-pointed,absent,space,horisontal,high-low,vawe,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
покраснеть,1-st; 4-th,absent,straight,straight,tips,back,absent,absent,head,absent,low-high,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
бомбить,1-st,absent,straight,straight,radial,back,absent,absent,hand-classifier; space,horisontal,low-high; contra-ipsi,absent,1-st; 4-th,absent,straight,straight,absent,palm,tips,repeated,,
отскакивать,1-st; 2-nd,absent,straight-curved,straight,tips,root,wide,absent,hand-palm,horisontal,near-far,sraight,absent,absent,absent,absent,absent,back,absent,repeated,,
ограничивать,1-st,absent,straight,straight,ulnar,palm,absent,absent,space,horisontal,ipsi-contra,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
сгибать,absent,absent,absent,absent,absent,ulnar,absent,prone-neutral,space,sagittal,high-low,absent,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
поклониться,absent,absent,absent,absent,root,absent,absent,neutral-forward,space,horisontal,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,,
хвастаться,thumb,absent,straight,straight,palm,tips,absent,absent,trunk,absent,low-high,sraight,absent,absent,absent,absent,absent,absent,absent,repeated,,
расстаться,thumb,absent,straight,straight,ulnar,back,absent,absent,space,horisontal,contra-ipsi,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
дышать,all,absent,straight,straight,palm,back,pointed,absent,trunk,absent,near-far,sraight,absent,absent,absent,absent,absent,absent,absent,biderectional,,
приносить,all,absent,straight,straight,back,ulnar,pointed,absent,space; virtual object,horisontal,ipsi-contra; contra-ipsi,arc,absent,absent,absent,absent,absent,absent,absent,symmetrical,,palm
absent,1-st,absent,straight,straight,palm,ulnar,absent,absent,space,parallel,high-low,arc,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
строить,1-st; 2-nd,absent,straight,straight,palm,back,pointed,absent,space,horisontal,low-high,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical; alternating; repeated; crossed; laceration,,
запугивать,1-st,absent,straight,straight,ulnar,tips,absent,absent,space,horisontal,proxi-distal,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical; repeated,,
